 s_State,s_Volume,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
Khartoum,40610,SD01,15.851318,32.843002,Abu Jabrah,SD05140,10.9356,26.79963,43400
South Darfur,2250,SD03,11.00282,24.420469,Abu Jabrah,SD05140,10.9356,26.79963,43400
West Kordofan,665,SD18,11.906944,28.392115,Abu Jabrah,SD05140,10.9356,26.79963,43525
East Darfur,1250,SD05,11.017195,26.409638,Abu Jabrah,SD05140,10.9356,26.79963,1250
Khartoum,31560,SD01,15.851318,32.843002,Abu Karinka,SD05155,11.59401,26.55873,41585
South Darfur,25,SD03,11.00282,24.420469,Abu Karinka,SD05155,11.59401,26.55873,41585
East Darfur,10000,SD05,11.017195,26.409638,Abu Karinka,SD05155,11.59401,26.55873,41585
North Darfur,330,SD02,16.217571,25.556517,Abu Karinka,SD05155,11.59401,26.55873,330
Khartoum,36025,SD01,15.851318,32.843002,Ad Du'ayn,SD05142,11.42031,26.20074,120320
South Darfur,68005,SD03,11.00282,24.420469,Ad Du'ayn,SD05142,11.42031,26.20074,132820
West Kordofan,65,SD18,11.906944,28.392115,Ad Du'ayn,SD05142,11.42031,26.20074,120320
East Darfur,17000,SD05,11.017195,26.409638,Ad Du'ayn,SD05142,11.42031,26.20074,132820
